Location,Date,Group,Total,Device always available for educational purposes,Device usually available for educational purposes,Device sometimes available for educational purposes,Device rarely available for educational purposes,Device never available for educational purposes,Did not report,Internet always available for educational purposes,Internet usually available for educational purposes,Internet sometimes available for educational purposes,Internet rarely available for educational purposes,Internet never available for educational purposes,Did not report.1
WA,2020-05-19,"    $150,000 - $199,999",154250.0,90810.0,6857.0,559.0,,56023.0,,90181.0,7399.0,647.0,,56023.0,
WA,2020-05-19,"    $200,000 and above",191696.0,163386.0,21156.0,6860.0,148.0,145.0,,157772.0,33504.0,419.0,,,
WA,2020-05-19,    Did not report,39575.0,34917.0,2091.0,1208.0,944.0,,415.0,28642.0,1598.0,3652.0,944.0,,4740.0
Seattle_Metro_Area,2020-05-19,"    Less than $25,000",37857.0,36657.0,278.0,,796.0,126.0,,36895.0,165.0,,796.0,,
Seattle_Metro_Area,2020-05-19,"    $25,000 - $34,999",29873.0,13535.0,1136.0,14875.0,135.0,193.0,,13536.0,2445.0,13699.0,193.0,,
Seattle_Metro_Area,2020-05-19,"    $35,000 - $49,999",26757.0,20094.0,2092.0,1424.0,3147.0,,,21014.0,1278.0,4465.0,,,
Seattle_Metro_Area,2020-05-19,"    $50,000 - $74,999",100064.0,60845.0,30464.0,2098.0,6637.0,19.0,,76469.0,13788.0,3428.0,6360.0,19.0,
Seattle_Metro_Area,2020-05-19,"    $75,000 - $99,999",95963.0,74255.0,7633.0,13043.0,1032.0,,,92727.0,1824.0,460.0,,951.0,
Seattle_Metro_Area,2020-05-19,"    $100,000 - $149,999",130444.0,116798.0,9630.0,1249.0,266.0,2500.0,,121364.0,5297.0,1282.0,,2500.0,
Seattle_Metro_Area,2020-05-19,"    $150,000 - $199,999",55652.0,52796.0,2838.0,18.0,,,,54638.0,748.0,265.0,,,
Seattle_Metro_Area,2020-05-19,"    $200,000 and above",155983.0,132884.0,15968.0,6838.0,148.0,145.0,,133890.0,21946.0,148.0,,,
Seattle_Metro_Area,2020-05-19,    Did not report,21858.0,17601.0,2091.0,807.0,944.0,,415.0,11326.0,1598.0,3652.0,944.0,,4338.0
WA,2020-05-26,"    Less than $25,000",90807.0,51907.0,17910.0,6241.0,5517.0,8674.0,559.0,50274.0,22706.0,1915.0,7105.0,,8807.0
WA,2020-05-26,"    $25,000 - $34,999",86714.0,71585.0,9893.0,4391.0,845.0,,,58263.0,28070.0,381.0,,,
WA,2020-05-26,"    $35,000 - $49,999",102354.0,60330.0,13052.0,3776.0,5118.0,20079.0,,59189.0,7987.0,13137.0,5118.0,16923.0,
WA,2020-05-26,"    $50,000 - $74,999",169126.0,132851.0,24195.0,11136.0,944.0,,,99742.0,63467.0,5917.0,,,
WA,2020-05-26,"    $75,000 - $99,999",146798.0,121486.0,15165.0,,10147.0,,,132294.0,10861.0,1525.0,2017.0,102.0,
WA,2020-05-26,"    $100,000 - $149,999",251868.0,216021.0,16293.0,4251.0,15303.0,,,214033.0,25961.0,2137.0,9737.0,,
WA,2020-05-26,"    $150,000 - $199,999",105481.0,93204.0,7437.0,4495.0,,,344.0,96467.0,8172.0,842.0,,,
WA,2020-05-26,"    $200,000 and above",182218.0,146940.0,33588.0,1008.0,682.0,,,151232.0,27546.0,3440.0,,,
WA,2020-05-26,    Did not report,62289.0,38895.0,1565.0,204.0,,,21625.0,33543.0,381.0,,,,28366.0
Seattle_Metro_Area,2020-05-26,"    Less than $25,000",60932.0,30999.0,12208.0,5617.0,2875.0,8674.0,559.0,27309.0,20026.0,1915.0,2875.0,,8807.0
Seattle_Metro_Area,2020-05-26,"    $25,000 - $34,999",41297.0,31133.0,8839.0,1325.0,,,,32949.0,7967.0,381.0,,,
Seattle_Metro_Area,2020-05-26,"    $35,000 - $49,999",32202.0,26719.0,1645.0,683.0,,3155.0,,26832.0,1532.0,3838.0,,,
Seattle_Metro_Area,2020-05-26,"    $50,000 - $74,999",54275.0,29477.0,16042.0,8756.0,,,,34840.0,16756.0,2679.0,,,
Seattle_Metro_Area,2020-05-26,"    $75,000 - $99,999",79481.0,69395.0,10086.0,,,,,72598.0,5523.0,1257.0,,102.0,
Seattle_Metro_Area,2020-05-26,"    $100,000 - $149,999",126916.0,118355.0,7226.0,457.0,877.0,,,111580.0,15336.0,,,,
Seattle_Metro_Area,2020-05-26,"    $150,000 - $199,999",63847.0,54419.0,7437.0,1646.0,,,344.0,57682.0,5322.0,842.0,,,
Seattle_Metro_Area,2020-05-26,"    $200,000 and above",140252.0,108925.0,29637.0,1008.0,682.0,,,115003.0,24561.0,688.0,,,
Seattle_Metro_Area,2020-05-26,    Did not report,40768.0,31087.0,1388.0,204.0,,,8088.0,25735.0,204.0,,,,14829.0
